,places,doc_id
240,Matr. Nr. 69 co af Markj,204
241,Statslaan,205
242,Matr. Nr. 69 co af Markj,205
243,Flyvepladsen,207
244,Skejby,207
245,Aarhus Kommunehospital,208
246,Havnens,209
247,Havnens Penge,209
248,Havnen,210
249,Tinning,213
250,Aarhus,213
251,Aarhus,214
252,Horsens,214
253,Aarhus Teater,216
254,Aarhus Købstad,217
255,Aarhus Havn,218
256,Nordre Kirkegaard,219
257,Aarhus,219
258,Nordre Kirkegaard,220
259,Hørhaven,221
260,Hørhaven,221
261,Vejen,221
262,Vejen,221
263,Pladsen,221
264,Pladsen,222
265,Pladsen,222
266,Hørhaven,222
267,Hestehaven,223
268,Dybkjær,223
269,Hestehaven,223
270,Hestehavevej,223
271,Bøgebjergvej,223
272,Rørmosevej,223
273,Egebæksvej,223
274,Dybkjær,223
275,Brendstrupvej,223
276,Mandalsvej,223
277,Farsundsvej,223
278,Aabyhøj,224
279,Marselisborg Skole,226
280,Skoletandklinikken,227
281,Valdemarsgade,228
282,Frederiksalle,228
283,Skolebadene,230
284,Riis Skov,230
285,Aar,230
286,Vesterbros Mølle,234
287,Viby Mosegaard,235
288,Jordens,235
289,Langelandsgade,236
290,Væddeløbsbanen,239
291,"Helgenæsgade 12..................320Kr.80,00Kr.",240
292,"Tordenskjoldsgade 81 .....................720""180,00""
",240
293,"Fiskergade 43 .....................464""116,00""
",240
294,"Mejlg. 43 250 Kr. 62,50 ""
",241
295,Ndr. Ringgade 98,241
296,Skovvej 101,241
297,"Ridderstræde 3 ..................400""100,00""
N. P. Petersen",241
298,"Ridderstræde 3 ..................320""80,00""
K. S.Vestergaard",241
299,"Østboulevard 5 .......................750""187,50""",241
300,"Andelsboligforeningen ""Ringgaarden",245
301,Vestre Ringgade 108,246
302,Skattekontoret,250
303,Randers Landevej,251
304,Skejby,251
305,Randers Landevej,251
306,Skejbygaard,251
307,Kasernen,252
308,Flyvepladsen,252
309,Aarhus,252
310,Skejby-gaard,252
311,Skejby,252
312,Vilkaar,252
313,Aarhus,253
314,Aarhus,253
315,Ran-derslandevej,253
316,Aaby Vestergaard,253
317,Højvang,254
318,Vorregaarden,254
319,Vestereng,254
320,Christiansminde,254
321,Flyvepladsen,255
322,Eksercerplads,255
323,Vestereng,256
324,Aarhus,256
325,Brendstrupvej,256
326,Vejen,256
327,Vejens Anlæg,256
328,Vejens Udvidelse,256
329,Jord,257
330,Byggeriet,257
331,Riisvangen,258
332,Jorden,258
333,Jorden,258
334,Vestereng,258
335,Ringgaarden,259
336,Tyskland,265
337,Berlin,265
338,Wien,265
339,Dresden,265
340,Hamburg,265
341,Skejby Mark,266
342,Vestereng-Følgende,266
343,Statens Vegne,266
344,Aarhus Kommunes,266
345,Skejby Mark,266
346,Aarhus,266
347,Aarhus Kommune,266
348,Skejby Mark,267
349,Randers Landevej,267
350,Vestereng,267
351,Dybkjærgaard,267
352,Dybkjærgaards,267
353,Vesterengs,267
354,Kasernegrunden,267
355,Vestereng,267
356,Græsleje,268
357,Vestereng,268
358,Dybkjærgaard,268
359,Galgebakken,268
360,Charlottehøj,268
361,Kasernegrundens,268
362,Kasernegrunden,268
363,Brendstrupvejen,268
364,Aarhus Kommune,268
365,Statens Vegne,269
366,Aarhus Kommunes,269
367,Skejby Mark,269
368,Aarhus,269
369,Aarhus Kommune,269
370,Tønder,269
371,Fredericia,269
372,Hovedbygningens,269
373,Løbegaard,269
374,Hovedbygningen,269
375,Magasinbygningen,269
376,Aarhus Kommune,270
377,Garage-gaard,270
378,Hovedbygningen,270
379,Kasernens Projektering,271
380,Aarhus,271
381,Viborg,271
382,Aarhus,271
383,Aarhus,271
384,Aarhus,272
385,Aarhus Kommune,272
386,Aarhus Kommune,272
387,Aarhus,273
388,Ridehusets,273
389,Hjørnet,273
390,Vester Allé,273
391,Frederiks Allé,273
392,Rytterkasernen,273
393,Vester Allé,273
394,Langelandsgade,273
395,Matr. Nr. 1293 af Aarhus Købstads,273
396,Grunden,273
397,Aarhus Kommune,273
398,Ridehusbygningen,273
399,Rytterkasernens Grund,273
400,Høegh Guldbergsgade,273
401,Aarhus Købstads,273
402,Matr. Nr. 1547 c,274
403,Aarhus Købstads,274
404,Matr. Nr. 1547 b,274
405,Matr. Nr. 1547 e af Aarhus Købstads,274
406,Høegh Guldbergsgade,274
407,Ridehusgrunden,274
408,Høegh Guldbergsgades,274
409,Høegh Guldbergsgades,274
410,Kaserne,275
411,Skejby Mark,275
412,Jorderne,275
413,Vestereng,275
414,Kasernens,275
415,Aarhus,275
416,Aarhus Havn,277
417,Kommunehospitalet,279
418,Kommunehospitalet,280
419,Aarhus Vandværk,281
420,Nordre Kirkegaard,284
421,Willemoesgade,290
422,Moselund,291
423,Brande,291
424,Siden af Mosen,292
425,Aarhus,292
426,Slagtehuset,295
427,Havnen,299
428,Aarhus Kommune,305
429,Ting- og Arresthuset,306
430,Kommunehospitalet,307
431,Aarhus Cyklebane,314
432,Pladsen,315
433,Skejby Mark,315
434,Aarhus,322
435,Aarhus,324
436,Kokssiloens Udleveringsanlæg,324
437,Sporvejenes Remise,326
438,Kant- og Flisestøberiet,326
439,Kirkegaardene,326
440,Aarhus Kommune,329
441,Aarhus Kommune,332
442,Aarhus,332
443,Taarn,334
444,Randers Landevej,335
445,Aarhus,336
446,Aarhus Kommunehospital,337
447,Skejby Mark,337
448,Flyvepladsens,337
449,Trøjborg,337
450,Fjor,339
451,Cyklebanen,342
452,Aarhus,344
453,Europa,344
454,Slagtehuset,345
455,Aarhus,346
456,Aarhus,346
457,Aarhus,347
458,Aarhus,348
459,Aarhus,348
460,Aarhus,348
461,Raadhuset,348
462,Væddeløbsbanen,348
463,Cyklebanen,348
464,Neurologisk Hospital,348
465,Flyvepladsen,348
466,Strandvejens,349
467,Aaens Overdækning,349
468,Marselisborg Skole,349
469,Aarhus Bys,350
470,Posten,353
471,Aarhus,354
472,Danmark,354
473,Aarhus,356
474,Odensegade,356
475,Banegaardsgade,356
476,Banegaardsplads,356
477,Banegaardsgade,356
478,Knudrisgade,356
479,Strandvejen,356
480,Flyvepladsen,356
481,Aarhus,357
